,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
4,Cory Joseph,PG,29,DET,75.57142857142857,13,22.977777777777774,3.163492063492064,6.785714285714287,0.4147857142857143,0.7714285714285715,2.0698412698412696,0.3381901840490798,2.433333333333333,4.6460317460317455,0.5237444482405194,0.5177777777777778,1.1317460317460315,1.4317460317460318,0.8035714285714286,0.5698412698412698,1.9714285714285715,2.8714285714285714,3.5928571428571425,0.8357142857142856,0.2904761904761904,1.0714285714285714,2.2,6.535714285714286,2020-21,1.9702321973316654
4,D.J. Augustin,PG,33,HOU,65.14285714285714,38,26.461538461538463,2.153846153846154,5.446153846153846,0.4230714285714286,1.3357142857142856,3.3538461538461544,0.341743119266055,1.0076923076923077,2.0923076923076924,0.4816176470588235,0.5007062146892656,1.330769230769231,1.4692307692307691,0.8815714285714285,0.8076923076923077,2.907692307692308,2.2142857142857144,4.742857142857143,0.6071428571428571,0.3692307692307692,1.5357142857142858,2.184615384615385,10.821428571428571,2020-21,1.052800603001948
4,Damian Jones,C,25,LAL,43.285714285714285,10,14.03846153846154,1.8025641025641024,2.612820512820513,0.6774285714285714,0.0,0.123076923076923,0.3541666666666667,1.758974358974359,2.525641025641025,0.6964467005076143,0.6982335623159961,1.0846153846153848,1.5102564102564104,0.7027142857142856,0.9076923076923076,2.1974358974358976,3.328571428571429,0.7357142857142857,0.4714285714285714,0.7641025641025642,0.5428571428571428,1.9923076923076923,5.264285714285714,2020-21,-1.1297726437157634
3,Daniel Theis,C,28,BOS,65.14285714285714,51,24.67692307692308,3.8707692307692314,7.183076923076924,0.5593571428571428,0.4571428571428572,2.370769230769231,0.3225178455548345,3.1061538461538465,4.847692307692308,0.6407489685814028,0.5920968087384877,1.1353846153846154,1.706153846153846,0.7548571428571428,1.4415384615384617,4.070769230769232,5.521428571428571,1.4428571428571428,0.5071428571428571,0.8584615384615385,0.7214285714285714,2.581538461538462,7.921428571428572,2020-21,1.786001896947921
3,DeMarcus Cousins,C,30,HOU,38.142857142857146,11,17.351219512195122,3.2,7.424390243902439,0.47524208844963567,1.3353174603174602,3.273170731707317,0.3576751117734724,2.029268292682927,4.190243902439024,0.4842840512223517,0.5098554533508541,1.4487804878048782,2.009756097560976,0.7413454599671985,1.278048780487805,5.11219512195122,9.744642857142859,4.1848214285714285,1.3945436507936508,0.5829268292682928,3.239484126984127,2.6487804878048777,19.606944444444448,2020-21,0.6076847093111611
4,Delon Wright,SG,28,DET,73.28571428571429,39,27.74285714285714,3.8428571428571434,8.185714285714285,0.45375812385039854,0.634095238095238,2.757142857142857,0.3730569948186528,2.771428571428572,5.5285714285714285,0.5012919896640827,0.5322862129144852,1.6142857142857143,1.985714285714285,0.7849984472049689,1.0,3.242857142857143,3.6701904761904762,3.264190476190476,1.1693333333333331,0.4571428571428571,1.0193333333333334,1.2142857142857144,7.503523809523808,2020-21,5.5889206689480835
3,Denzel Valentine,C,21,CHI,49.214285714285715,28,19.45744680851064,3.0106382978723403,7.108510638297872,0.4073571428571428,1.4714285714285715,2.81063829787234,0.3414080242240727,2.085106382978723,4.297872340425531,0.4851485148514851,0.4910206524992517,1.0829787234042554,1.3893617021276594,0.7505714285714286,1.0127659574468086,3.7531914893617015,2.9928571428571433,1.7642857142857142,0.7142857142857143,0.3382978723404255,0.8857142857142858,1.7468085106382978,7.6499999999999995,2020-21,2.4049311856542945
4,Derrick Rose,PG,32,DET,48.5,3,25.6,5.72,12.23,0.4836870602630774,0.9137142857142857,2.6,0.4000000000000001,4.75,9.63,0.4932502596053998,0.5102207686017989,2.17,2.53,0.8662021276595746,0.3999999999999999,2.2,2.4145714285714286,4.932571428571428,0.7051428571428572,0.37,2.1671428571428573,1.1,17.375714285714285,2020-21,3.2921782006444866
4,Evan Fournier,SG,28,BOS,69.64285714285714,36,29.995238095238097,5.852380952380952,12.904761904761903,0.45814285714285713,2.3714285714285714,6.704761904761905,0.4176136363636363,3.090476190476191,6.161904761904762,0.5015455950540959,0.5619926199261992,2.580952380952381,3.252380952380953,0.8180714285714286,0.238095238095238,2.814285714285714,2.8142857142857145,3.292857142857143,1.0214285714285716,0.4142857142857142,1.8857142857142857,2.2904761904761903,17.478571428571428,2020-21,4.5473245483883
4,Gary Harris,SG,26,DEN,57.07142857142857,38,27.72820512820513,3.5487179487179485,8.866666666666665,0.4257857142857143,1.4000000000000001,3.592307692307692,0.3476088508208423,2.3487179487179484,5.274358974358973,0.445308701993194,0.4706477732793523,1.6615384615384614,2.01025641025641,0.8112857142857142,0.5461538461538461,1.4923076923076923,2.85,2.185714285714286,1.3142857142857143,0.3025641025641025,1.1785714285714286,1.7974358974358973,11.62142857142857,2020-21,0.11562577736416754
