PLAYER,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,VALUE
Derrick Rose,32,44.31155750496512,3,25.6,5.72,12.23,0.4736732878620451,0.8215782549027544,2.6,0.4000000000000001,4.75,9.63,0.4932502596053998,0.5102207686017989,2.17,2.53,0.8641544605772566,0.3999999999999999,2.2,2.262108182142743,4.157140332282104,0.6044401803337092,0.37,1.937374948146774,1.1,15.716789361558344,3.0671967433591405
Evan Fournier,28,68.94559206695432,36,29.995238095238097,5.852380952380952,12.904761904761903,0.4551791924161589,2.264770653859532,6.704761904761905,0.4176136363636363,3.090476190476191,6.161904761904762,0.5015455950540959,0.5619926199261992,2.580952380952381,3.252380952380953,0.825724890261151,0.238095238095238,2.814285714285714,2.949357399379753,3.2640782644916,0.9594294380503344,0.4142857142857142,1.851763809020504,2.2904761904761903,17.171496648404595,5.286396422516528
Gary Harris,26,58.99407188127438,38,27.72820512820513,3.5487179487179485,8.866666666666665,0.4370410875779445,1.57528909263769,3.592307692307692,0.3476088508208423,2.3487179487179484,5.274358974358973,0.445308701993194,0.4706477732793523,1.6615384615384614,2.01025641025641,0.812436869420336,0.5461538461538461,1.4923076923076923,2.793537575790545,2.3270529016581945,1.360039830998148,0.3025641025641025,1.3029348061684465,1.7974358974358973,12.965088223277377,3.0570039577383135
George Hill,34,61.27052901658194,17,22.4,3.173333333333334,6.573333333333334,0.4800652531464354,1.142016594285168,2.66,0.4010025062656642,2.16,3.913333333333333,0.5519591141396935,0.563894523326572,1.34,1.6933333333333334,0.8176724017686712,0.5466666666666666,1.5,2.7542626800180177,2.7382950117013007,0.8582262332299588,0.1533333333333333,1.0359901052466465,1.06,8.948101278491057,1.7784920144156633
Gorgui Dieng,31,71.29295318458708,1,14.542105263157891,2.205263157894737,4.268421052631579,0.478403226921988,0.5119368405441356,1.863157894736842,0.4011299435028248,1.4578947368421051,2.447368421052632,0.5956989247311827,0.6041923551171393,1.5315789473684212,1.7894736842105263,0.7828056019193216,1.0894736842105264,2.6526315789473687,4.869741551541919,1.0220059219950408,0.6835475335400824,0.3894736842105263,0.8481571517790535,1.4473684210526316,6.674602617709112,1.0216747377093078
J.J. Redick,36,67.86911158740854,0,16.44318181818182,2.415909090909091,6.072727272727274,0.4502542087780549,3.019980084500926,4.027272727272727,0.3679458239277652,0.9340909090909092,2.0454545454545454,0.4566666666666666,0.5198353293413173,1.1454545454545455,1.175,0.895576334213574,0.1,1.3636363636363638,2.465891862259789,2.479937919078955,0.3823443287197067,0.1,1.3482361909794958,1.1409090909090909,16.68915357554137,-0.3331330843644533
JaVale McGee,33,69.66402677712232,2,14.719565217391304,3.145652173913043,6.1326086956521735,0.6287070468154129,0.0,0.5152173913043477,0.2784810126582279,3.002173913043478,5.589130434782609,0.5371450797355114,0.5246366536689117,0.9586956521739132,1.4739130434782608,0.6617252418826561,1.6565217391304348,3.5,5.566285519141609,0.5682162754804218,0.4858719467607149,1.1717391304347826,0.9081764444822736,2.626086956521739,8.007713719155925,-1.4672081800948167
Jabari Parker,25,45.17984912817248,0,12.692307692307692,2.3,4.223076923076923,0.4973314977194435,0.926448490276086,0.8384615384615385,0.1834862385321101,2.1461538461538465,3.3846153846153846,0.6340909090909093,0.5628415300546448,0.7692307692307693,1.0,0.7349282787962333,0.7615384615384616,2.4692307692307693,5.791043264097592,2.0205722450633816,0.9278561689956208,0.3769230769230769,1.8933191928527808,0.9923076923076924,13.84694241897912,-1.3845783525142714
James Harden,31,72.37553759361101,43,36.54545454545455,7.745454545454546,16.654545454545456,0.4445237420196831,4.367605882532608,7.609090909090909,0.3643966547192354,5.054545454545455,9.127272727272729,0.5537848605577689,0.5483078602620087,6.354545454545455,7.336363636363636,0.868086872599347,0.7636363636363638,7.118181818181819,6.310582854123024,7.813535241366722,1.8682162754804217,0.8000000000000002,4.646422593211306,2.290909090909091,33.973340755223624,11.168721390658723
James Johnson,33,49.733290831045146,12,20.46274509803921,2.86078431372549,6.423529411764706,0.4722048640290261,0.9307099733959312,2.3588235294117648,0.2485453034081462,2.2745098039215685,4.02156862745098,0.5655777669429547,0.4909951159951159,0.9019607843137254,1.4745098039215687,0.6694813050654669,0.6294117647058823,2.845098039215686,3.813654736329665,2.7456528703654057,0.7721873342296913,0.8431372549019608,1.52825610647857,2.345098039215686,8.797683209120834,-0.06092613331018981
